"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.61029215633445e-143,1.05130769396535,0.255,0.126,1.15506259684803e-138,"11","Ncoa3"
7.61303683993741e-142,0.762760306516976,0.407,0.245,1.90737024987792e-137,"11","Scamp2"
1.03749623950163e-141,0.685378807527875,0.557,0.395,2.59934307844738e-137,"11","Ppp2ca"
4.97173302334743e-141,0.442512470106481,0.871,0.791,1.24561799166946e-136,"11","Ndufb1-ps"
8.31101660089331e-141,1.06683535908059,0.261,0.132,2.08224209918781e-136,"11","Vamp4"
1.72269340648063e-140,0.944522086602867,0.309,0.168,4.31603606059657e-136,"11","AI413582"
5.57007208847127e-140,0.57187723212488,0.548,0.367,1.39552586104559e-135,"11","Ube2i"
1.58237503739073e-139,0.599419121910928,0.477,0.305,3.96448241867872e-135,"11","Sorl1"
2.88636457848105e-138,0.828230843340551,0.371,0.221,7.23149781492641e-134,"11","Ppt1"
4.96749707194297e-138,0.77371662451871,0.491,0.332,1.24455671640459e-133,"11","Arid4a"
5.84684513875124e-138,0.818042384342364,0.427,0.269,1.46486858106274e-133,"11","Abi1"
5.96317644311915e-138,0.89897567164209,0.274,0.141,1.49401422605907e-133,"11","Nedd9"
8.63027838676372e-138,0.669607854437869,0.572,0.415,2.16222994701978e-133,"11","Ube2l3"
9.60720040592536e-138,0.936744750693024,0.288,0.153,2.40698798970054e-133,"11","Adipor2"
1.10368448279692e-137,0.801979620459303,0.427,0.268,2.76517110319941e-133,"11","Ep300"
4.28828301851077e-136,0.958510222112806,0.263,0.134,1.07438642745769e-131,"11","Cers2"
2.60740199740918e-135,1.00101027796653,0.278,0.147,6.53258496430896e-131,"11","Vps26a"
3.1431644536182e-135,0.665173826993502,0.499,0.333,7.87488422209505e-131,"11","Bnip2"
5.28336082855876e-135,0.885927942837175,0.355,0.208,1.32369322198711e-130,"11","Ppp4c"
9.20030291710693e-135,0.821862594779631,0.274,0.141,2.30504389285197e-130,"11","Ifi35"
4.68512846940969e-134,0.864994099075184,0.282,0.148,1.1738120867259e-129,"11","Nmi"
8.72813958227787e-134,0.565396954942584,0.633,0.464,2.1867480909439e-129,"11","Rbms1"
1.45855401546805e-133,0.473959937671824,0.9,0.847,3.65426123035366e-129,"11","Ywhaz"
2.36304323614559e-132,0.707251943157173,0.485,0.328,5.92036852383916e-128,"11","Lamtor1"
4.90675963680789e-132,0.744661480635729,0.487,0.334,1.22933955940585e-127,"11","Ifrd1"
5.33749589518251e-132,0.481570869422051,0.712,0.574,1.33725622157903e-127,"11","Ssr4"
5.48105322852642e-132,0.614785317770445,0.376,0.22,1.37322307587501e-127,"11","Cited2"
3.57313948718093e-131,0.692330329983564,0.486,0.325,8.95214367118309e-127,"11","Nsd3"
7.50374937243906e-131,0.973311169027685,0.303,0.169,1.87998936777088e-126,"11","Tmem131"
1.24894822145303e-130,0.850584810174492,0.281,0.148,3.12911487402843e-126,"11","Cmtm6"
8.74654219303247e-130,0.484242511275414,0.706,0.563,2.19135868104236e-125,"11","Uba52"
1.09960874003496e-128,0.486895533587198,0.684,0.535,2.75495973728358e-124,"11","Snrpe"
2.02293825531449e-127,1.02826695134716,0.271,0.145,5.06826950486493e-123,"11","Plekhm3"
1.00674789054984e-125,0.86824004304415,0.275,0.146,2.52230616498357e-121,"11","Arid5a"
2.82056108383821e-125,0.739911946535356,0.442,0.29,7.06663373944826e-121,"11","Snf8"
1.06938176884294e-123,0.851880121183628,0.359,0.219,2.67922908365911e-119,"11","Spg21"
1.45653683754685e-123,0.316243503896983,0.923,0.863,3.64920739278987e-119,"11","Eef2"
2.29232867419461e-121,0.864276671479852,0.336,0.2,5.74320026032719e-117,"11","Flii"
1.14432841548861e-120,0.551958925313053,0.615,0.468,2.86700041216516e-116,"11","Polr1d"
1.65184540621898e-120,0.89626210404738,0.284,0.157,4.13853348074103e-116,"11","Mknk2"
9.1302784758786e-120,0.589491412260179,0.511,0.353,2.28749996934662e-115,"11","Rab7"
2.2627865049395e-119,0.514396681673009,0.719,0.601,5.66918530947542e-115,"11","Mtdh"
1.33393599634978e-118,0.886018251183686,0.278,0.153,3.34204324525474e-114,"11","Lactb"
1.65239550038037e-118,0.973350667690286,0.277,0.153,4.13991168665298e-114,"11","6430548M08Rik"
4.36971760992732e-118,0.707839976247641,0.444,0.296,1.09478904999119e-113,"11","Etf1"
1.21427736110853e-117,0.867039525754179,0.376,0.238,3.04225050052132e-113,"11","Tmcc1"
2.14211832691942e-117,0.527203150084611,0.549,0.387,5.36686325626391e-113,"11","Sri"
1.88178646268256e-116,0.522905764396277,0.659,0.516,4.71462780360489e-112,"11","Eif3e"
2.11118195155122e-116,0.511364810275007,0.657,0.518,5.28935526141642e-112,"11","Chmp4b"
